fac_no_faction|无 派 别 
fac_commoners|平 民 
fac_outlaws|不 法 之 徒 
fac_neutral|中 立 者 
fac_innocents|无 辜 者 
fac_merchants|商 人 
fac_player_faction|你 的 势 力 
fac_player_supporters_faction|支 持 你 的 势 力 
fac_kingdom_1|越 后 诸 藩 
fac_kingdom_2|仙 台 藩 
fac_kingdom_3|伊 势 诸 藩 
fac_kingdom_4|长 州 藩 
fac_kingdom_5|松 平 家 
fac_kingdom_6|德 川 家 
fac_kingdom_7|德 岛 藩 
fac_kingdom_8|池 田 家 
fac_kingdom_9|细 川 家 
fac_kingdom_10|弘 前 藩 
fac_kingdom_11|彦 根 藩 
fac_kingdom_12|土 佐 藩 
fac_kingdom_13|旧 幕 府 势 力 
fac_kingdom_14|久 保 田 藩 
fac_kingdom_15|萨 摩 藩 
fac_kingdom_16|佐 贺 藩 
fac_kingdom_17|水 户 藩 
fac_kingdom_18|房 总 诸 藩 
fac_kingdom_19|酒 井 家 
fac_kingdom_20|加 贺 藩 
fac_kingdom_22|延 冈 藩 
fac_kingdom_23|明 治 新 政 府 
fac_kingdom_24|盛 冈 藩 
fac_kingdom_25|大 垣 藩 
fac_kingdom_26|福 冈 藩 
fac_manhunters|地 方 势 力 
fac_deserters|落 武 者 
fac_foreign_smuggler|外 国 走 私 犯 
fac_sonno_joi|尊 王 攘 夷 派 
