ip_dplmc_info|外 交 模 式 
ip_dplmc_info_text|这 个 MOD 加 入 了 外 交 策 略 的 一 些 功 能 。 大 部 分 要 通 过 你 的 首 席 大 臣 、 财 政 大 臣 、 治 安 官 和 外 交 大 臣 来 执 行 。 当 你 得 到 第 一 个 村 庄 时 ， 你 可 以 雇 用 财 政 大 臣 ， 得 到 第 一 个 城 堡 时 可 以 雇 用 治 安 官 ， 而 当 你 得 到 第 一 座 城 镇 时 可 以 雇 用 外 交 大 臣 。 假 如 你 解 雇 了 其 中 一 名 大 臣 ， 你 可 以 通 过 配 偶 重 新 雇 用 他 们 。 ^^除 此 之 外 ， 这 个 mod还 有 其 他 功 能 ， 可 以 从 扎 营 菜 单 中 找 到 。 
ip_dplmc_autoloot|自 动 捡 拾 战 利 品 
ip_dplmc_autoloot_text|自 动 捡 拾 战 利 品 的 设 定 可 从 扎 营 选 单 中 调 整 。 它 使 你 的 英 雄 ( 有 名 字 的 NPC， 不 是 一 般 的 小 兵 ) 可 以 从 战 利 品 中 自 动 选 择 装 备 。 要 使 其 能 够 运 作 ， 下 列 条 件 之 一 必 须 要 满 足 ， 队 伍 中 必 须 有 人 拥 有 掠 夺 2级 以 上 ， 物 品 管 理 3级 以 上 ， 或 者 玩 家 本 身 物 品 管 理 2级 以 上 。 
ip_dplmc_autosell|自 动 出 售 
ip_dplmc_autosell_text|这 个 功 能 让 你 可 以 一 次 将 许 多 物 品 卖 给 商 人 。 透 过 城 镇 选 单 可 以 调 整 你 想 卖 的 物 品 细 节 ( 例 如 ， 可 以 设 定 马 不 会 被 自 动 售 出 ) 和 价 格 上 限 ( 例 如 ， 可 以 设 定 200第 纳 尔 以 上 的 物 品 不 被 卖 出 ) 。 ^^ 自 动 出 售 有 两 种 主 要 用 法 ， 1. 和 马 匹 贩 子 、 防 具 商 人 或 武 器 商 人 对 话 时 ， 可 以 透 过 对 话 选 择 出 售 特 定 种 类 的 物 品 。 2.城 镇 选 单 中 会 有 " 市 场 " 的 选 项 ， 可 以 从 那 里 自 动 出 售 你 的 物 品 。 ^^ 装 备 在 身 上 的 物 品 永 远 不 会 被 卖 掉 ， 物 品 栏 的 前 三 格 也 是 。 除 此 之 外 ， 这 个 功 能 会 跳 过 可 能 是 你 的 个 人 装 备 的 物 品 ( 毕 竟 一 个 人 常 有 一 套 以 上 的 装 备 ) 。 无 论 你 有 无 装 备 在 身 上 ， 你 最 好 的 弓 、 弩 ， 护 甲 、 头 盔 、 靴 子 和 手 套 不 会 被 卖 出 。 如 果 你 有 可 以 使 用 的 弓 ， 你 最 好 的 三 组 箭 不 会 被 卖 出 ， 弩 和 弩 矢 亦 同 。 而 最 好 和 次 好 的 盾 牌 、 单 手 武 器 、 双 手 武 器 、 长 杆 武 器 和 马 也 不 会 被 卖 出 。 你 最 好 的 三 组 投 掷 武 器 也 不 会 被 卖 出 。 然 而 ， 你 的 角 色 无 法 使 用 的 物 品 也 会 被 当 作 可 贩 售 的 物 品 。 
ip_morale|士 气 
ip_morale_text|士 气 为 部 队 中 的 士 兵 们 提 供 了 保 持 坚 忍 不 拔 ， 勇 往 直 前 ， 和 纪 律 严 明 的 能 力 和 积 极 性 ， 这 些 都 是 他 们 抵 御 战 斗 和 行 军 当 中 的 压 力 所 必 需 的 。 这 个 和 士 兵 们 的 愉 悦 度 不 是 一 回 事 情 。 精 锐 部 队 也 许 会 因 不 满 而 抱 怨 战 役 的 艰 苦 ， 但 是 当 他 们 面 对 如 蝗 飞 矢 的 时 候 还 是 会 坚 如 磐 石 团 结 如 一 。 另 一 方 面 ， 一 个 无 微 不 至 给 予 他 的 部 下 任 何 需 求 的 指 挥 官 ， 也 许 反 而 会 发 现 他 们 变 得 软 弱 ， 并 且 在 敌 人 进 攻 前 就 望 风 而 逃 。 ^^ 士 气 最 大 的 影 响 是 对 于 部 队 在 战 斗 中 的 行 为 ， 决 斗 了 士 兵 与 敌 人 交 战 时 有 多 凶 猛 ， 以 及 当 他 们 发 现 战 场 形 势 不 对 时 有 多 想 落 荒 而 逃 。 士 气 同 样 影 响 一 支 部 队 的 行 军 速 度 ， 越 没 有 动 力 的 队 伍 跑 的 就 越 慢 ， 因 为 这 种 情 况 下 部 下 不 会 尽 力 而 为 ， 并 且 经 常 要 停 下 来 休 息 ， 所 以 经 常 要 等 掉 队 的 人 赶 上 来 。 最 终 ， 一 支 士 气 低 下 的 部 队 就 会 有 人 开 小 差 逃 走 。 ^^ 一 些 影 响 士 气 的 因 素 是 很 直 观 的 。 比 如 ， 一 个 魅 力 过 人 并 且 百 战 百 胜 的 指 挥 官 可 以 给 他 或 者 她 的 部 下 在 精 神 上 以 极 大 的 鼓 舞 。 给 部 下 提 供 大 量 而 又 丰 富 食 物 ， 并 且 不 拖 欠 部 下 佣 金 的 领 袖 们 ， 表 现 的 很 关 心 他 们 的 士 兵 的 福 利 ， 并 且 不 喜 欢 带 领 他 们 深 赴 险 地 。 ^^ 另 外 一 些 因 素 就 不 是 那 么 直 观 了 ， 特 别 是 那 些 涉 及 部 队 的 团 队 凝 聚 力 方 面 的 。 例 如 ， 在 一 支 精 兵 队 伍 里 ， 个 个 都 会 和 优 势 兵 力 的 敌 人 艰 苦 作 战 毫 不 畏 缩 ， 因 为 你 的 胆 小 与 否 别 人 都 能 看 得 到 。 相 对 的 面 对 一 支 庞 大 的 队 伍 你 也 许 就 会 看 到 其 内 部 团 结 有 问 题 ， 这 是 由 于 指 挥 官 没 有 更 多 的 时 间 来 监 督 部 下 ， 倾 听 他 们 的 抱 怨 ， 并 且 解 决 他 们 之 间 的 争 端 。 频 繁 的 战 事 将 使 战 士 们 团 结 ， 而 长 时 间 的 无 所 事 事 会 使 士 兵 们 变 得 无 聊 和 相 互 争 吵 。 ^^ 通 过 点 击 “ 报 告 ” 按 钮 来 显 示 的 士 气 报 告 ， 将 给 玩 家 显 示 哪 些 因 素 正 在 影 响 他 或 她 部 下 的 士 气 。 
ip_economy|经 济 
ip_economy_text|日 本 大 陆 上 的 城 镇 和 村 庄 为 了 其 人 口 的 正 常 生 存 和 生 产 都 需 要 非 常 多 样 化 的 商 品 。 民 以 食 为 天 。 谷 物 是 日 本 大 陆 的 主 要 农 作 物 ， 但 是 人 们 还 需 要 肉 类 ， 鱼 类 和 奶 酪 提 供 的 脂 肪 和 蛋 白 质 。 而 第 一 时 间 里 将 肉 类 妥 善 保 存 起 来 的 工 作 差 不 多 和 生 产 肉 类 一 样 繁 重 ， 因 此 食 盐 的 需 求 也 很 巨 大 。 要 解 决 温 饱 还 需 要 衣 服 ， 厚 重 的 羊 毛 ， 轻 盈 的 亚 麻 ， 或 者 奢 华 的 天 鹅 绒 。 最 后 ， 人 们 还 需 要 用 于 贸 易 的 各 种 物 品 ， 铁 器 ， 陶 器 ， 皮 革 制 品 ， 当 然 ， 还 有 ， 用 于 战 争 的 武 器 ， 盔 甲 ， 以 及 马 匹 。 ^^ 大 多 数 农 业 产 品 产 自 于 村 庄 ， 而 城 镇 里 的 工 匠 则 专 门 从 事 于 制 造 品 或 者 手 工 艺 品 比 如 织 物 或 者 铁 器 。 同 样 的 ， 不 同 的 资 源 产 自 于 国 家 的 不 同 行 当 。 因 此 ， 日 本 大 陆 的 繁 荣 的 关 键 是 贸 易 ， 不 但 是 村 庄 和 城 镇 之 间 ， 还 包 括 那 些 主 要 城 镇 本 身 之 间 。 ^^ 当 贸 易 流 通 时 ， 商 品 将 能 够 被 使 用 和 消 费 ， 该 地 区 的 人 口 将 会 健 康 而 又 愉 悦 ， 并 且 会 有 移 居 者 从 附 近 地 区 聚 集 过 来 。 该 地 区 将 会 生 产 更 多 ， 消 费 更 多 ， 进 而 能 够 给 他 们 的 领 主 贡 献 更 多 的 税 金 。 当 贸 易 停 滞 ， 城 镇 和 村 庄 的 工 人 就 会 离 开 去 别 处 找 工 作 ， 而 经 济 活 动 也 将 停 止 。 从 而 ， 为 了 统 治 者 的 利 益 得 去 保 护 贸 易 路 线 免 遭 战 争 和 匪 患 的 威 胁 。 可 是 ， 一 个 精 明 的 商 人 ， 会 希 望 搜 索 到 与 大 陆 上 其 它 地 方 隔 离 的 城 镇 ， 因 为 他 或 者 她 也 许 能 够 从 不 平 衡 的 价 格 之 中 获 得 相 当 可 观 的 收 益 。 ^^ 因 为 村 民 总 是 把 他 们 出 产 的 商 品 运 往 城 镇 的 市 场 ， 村 庄 的 市 场 通 常 没 什 么 生 意 ， 而 村 民 们 总 是 贱 买 贵 卖 。 正 经 的 商 人 都 待 在 城 镇 里 做 买 卖 ， 虽 然 有 些 队 伍 会 不 时 在 村 庄 稍 作 停 留 做 些 补 给 。 ^^ 一 个 玩 家 如 果 要 想 知 道 哪 些 因 素 影 响 着 某 个 地 区 的 繁 荣 度 可 以 去 问 问 城 镇 广 场 上 的 镇 长 。 别 的 信 息 可 以 从 路 人 那 里 收 集 到 ， 尽 管 他 们 也 许 不 太 清 楚 他 们 自 己 特 定 贸 易 以 外 的 东 西 。 
ip_courtship|求 爱 
ip_courtship_text|玩 家 们 也 许 希 望 和 日 本 贵 族 联 姻 。 婚 姻 并 不 是 玩 家 在 日 本 施 展 自 己 的 本 领 和 才 干 所 必 须 的 ， 但 是 这 提 供 给 了 玩 家 增 进 和 领 主 们 的 关 系 以 及 确 立 对 王 位 主 张 的 机 会 。 ^^ 结 婚 的 条 件 对 于 男 性 和 女 性 玩 家 是 不 同 的 。 一 个 男 性 角 色 通 常 需 要 进 行 传 统 方 式 的 求 爱 。 他 需 要 在 日 本 贵 族 圈 里 建 立 自 己 的 声 望 ， 要 和 他 新 娘 的 父 母 或 者 监 护 人 相 处 融 洽 ， 并 且 按 照 当 地 习 俗 向 女 孩 求 爱 。 如 果 某 个 玩 家 变 得 不 耐 烦 起 来 ， 他 可 以 试 图 走 捷 径 ， 但 是 会 对 他 和 其 他 领 主 之 间 的 关 系 产 生 后 果 。 ^^ 一 个 男 性 角 色 得 记 住 其 他 领 主 会 为 了 王 国 的 闺 秀 和 他 竞 争 。 同 样 ， 女 孩 子 的 小 考 验 也 是 随 时 随 地 的 ， 而 玩 家 也 许 会 发 现 他 求 爱 的 对 象 到 头 来 并 不 爱 他 。 浪 漫 史 ， 在 日 本 这 块 地 方 ， 和 在 其 它 地 方 一 样 ， 有 情 人 不 一 定 总 成 眷 属 。 当 然 ， 玩 家 也 可 以 使 用 别 的 ， 不 太 绅 士 的 手 段 赢 得 女 孩 子 的 心 ， 但 是 同 样 的 ， 那 会 对 他 的 名 声 带 来 严 重 的 影 响 。 ^^ 要 开 始 一 段 求 爱 的 旅 程 ， 男 性 玩 家 需 要 试 着 融 入 日 本 贵 族 的 社 交 生 活 ， 出 席 宴 会 和 竞 技 大 会 。 同 样 ， 流 浪 的 歌 手 和 诗 人 可 以 成 为 获 得 求 爱 信 息 的 有 用 的 知 识 库 ， 并 且 能 让 玩 家 随 时 知 道 当 下 人 们 都 在 谈 论 些 什 么 。 ^^ 女 性 玩 家 也 可 以 结 婚 ， 但 是 她 们 得 记 住 日 本 的 社 会 非 常 传 统 ， 而 且 ， 作 为 冒 险 者 ， 她 们 选 择 了 一 条 非 常 反 传 统 的 女 性 之 路 。 一 名 女 性 角 色 也 许 要 好 好 找 找 某 个 思 想 足 够 开 放 的 领 主 来 娶 她 。 ^^ 作 为 好 的 一 面 ， 一 名 女 性 角 色 不 需 要 经 过 冗 繁 的 求 爱 礼 仪 ， 并 且 她 同 样 可 以 从 婚 姻 中 比 她 的 男 性 配 偶 得 到 的 更 多 。 作 为 一 名 女 性 冒 险 家 ， 婚 姻 可 以 成 为 通 往 权 力 的 捷 径 ， 而 一 名 不 择 手 段 的 角 色 也 许 会 把 她 的 丈 夫 当 作 她 实 现 政 治 野 心 的 工 具 。 
ip_politics|政 治 
