itm_no_item|无 效 项 目 
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|棍 棒 
itm_tutorial_club_pl|棍 棒 
itm_tutorial_battle_axe|战 斧 
itm_tutorial_battle_axe_pl|战 斧 
itm_tutorial_arrows|弓 矢 
itm_tutorial_arrows_pl|弓 矢 
itm_tutorial_bolts|弩 箭 
itm_tutorial_bolts_pl|弩 箭 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飞 刀 
itm_tutorial_throwing_daggers_pl|飞 刀 
itm_tutorial_saddle_horse|旅 行 马 
itm_tutorial_saddle_horse_pl|旅 行 马 
itm_tutorial_shield|筝 形 盾 牌 
itm_tutorial_shield_pl|筝 形 盾 牌 
itm_tutorial_staff_no_attack|杖 
itm_tutorial_staff_no_attack_pl|杖 
itm_tutorial_staff|杖 
itm_tutorial_staff_pl|杖 
itm_tutorial_sword|剑 
itm_tutorial_sword_pl|剑 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_dagger|匕 首 
itm_tutorial_dagger_pl|匕 首 
itm_horse_meat|马 肉 
itm_horse_meat_pl|马 肉 
itm_book_tactics|保 元 物 语 (战 术 )
itm_book_tactics_pl|保 元 物 语 (战 术 )
itm_book_persuasion|短 歌 的 构 成 (说 服 )
itm_book_persuasion_pl|短 歌 的 构 成 (说 服 )
itm_book_leadership|圣 德 太 子 传 (统 御 )
itm_book_leadership_pl|圣 德 太 子 传 (统 御 )
itm_book_intelligence|日 本 记 (侦 察 )
itm_book_intelligence_pl|日 本 记 (侦 察 )
itm_book_trade|五 畿 七 道 概 况 (贸 易 )
itm_book_trade_pl|五 畿 七 道 概 况 (贸 易 )
itm_book_weapon_mastery|剑 术 基 础 (武 器 掌 握 )
itm_book_weapon_mastery_pl|剑 术 基 础 (武 器 掌 握 )
itm_book_engineering|南 蛮 技 艺 (工 程 )
itm_book_engineering_pl|南 蛮 技 艺 (工 程 )
itm_book_wound_treatment_reference|医 心 方 (疗 伤 )
itm_book_wound_treatment_reference_pl|医 心 方 (疗 伤 )
itm_book_training_reference|兵 法 奥 义 (教 练 )
itm_book_training_reference_pl|兵 法 奥 义 (教 练 )
itm_book_surgery_reference|启 迪 集 (手 术 )
itm_book_surgery_reference_pl|启 迪 集 (手 术 )
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|盐 
itm_salt_pl|盐 
itm_oil|鱼 露 
itm_oil_pl|鱼 露 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|麻 捆 
itm_raw_flax_pl|麻 捆 
itm_linen|麻 布 
itm_linen_pl|麻 布 
itm_wool|木 棉 
itm_wool_pl|木 棉 
itm_wool_cloth|绢 布 
itm_wool_cloth_pl|绢 布 
itm_raw_silk|生 丝 
itm_raw_silk_pl|生 丝 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|丝 绸 
itm_velvet_pl|丝 绸 
itm_iron|铁 
itm_iron_pl|铁 
itm_tools|工 具 
itm_tools_pl|工 具 
