p_zendar|禅 达 
p_town_1|江 户 
p_town_2|水 户 
p_town_3|铫 子 
p_town_4|京 都 
p_town_5|堺 
p_town_6|津 
p_town_7|姬 路 
p_town_8|金 泽 
p_town_9|名 古 屋 
p_town_10|新 潟 
p_town_11|甲 府 
p_town_12|高 田 
p_town_13|广 岛 
p_town_14|冈 山 
p_town_15|仙 台 
p_town_16|会 津 若 松 
p_town_17|久 保 田 
p_town_18|弘 前 
p_town_19|博 多 
p_town_20|鹿 儿 岛 
p_town_21|长 崎 
p_town_22|松 山 
p_town_23|小 田 原 
p_town_24|奈 良 
p_town_25|浜 松 
p_town_26|长 浜 
p_town_27|山 口 
p_town_28|松 江 
p_town_29|府 內 
p_town_30|熊 本 
p_town_31|高 知 
p_town_32|鸟 取 
p_town_33|延 冈 
p_town_34|挂 川 
p_town_35|加 纳 
p_town_36|龙 野 
p_castle_1|忍 城 
p_castle_2|宇 都 宫 城 
p_castle_3|前 桥 城 
p_castle_4|古 河 城 
p_castle_5|久 留 里 城 
p_castle_6|洲 本 城 
p_castle_7|小 浜 城 
p_castle_8|彦 根 城 
p_castle_9|田 边 阵 屋 
p_castle_10|福 井 城 
p_castle_11|筱 山 城 
p_castle_12|鸟 羽 城 
p_castle_13|田 原 城 
p_castle_14|富 山 城 
p_castle_15|饭 山 城 
p_castle_16|犬 山 城 
p_castle_17|高 远 城 
p_castle_18|村 上 城 
p_castle_19|上 田 城 
p_castle_20|横 须 贺 城 
p_castle_21|高 岛 城 
p_castle_22|加 纳 城 
p_castle_23|广 濑 阵 屋 
p_castle_24|沼 津 城 
p_castle_25|浜 田 城 
p_castle_26|萩 城 
p_castle_27|三 原 城 
p_castle_28|津 山 城 
p_castle_29|胜 山 城 
p_castle_30|八 户 阵 屋 
p_castle_31|盛 冈 城 
p_castle_32|一 关 阵 屋 
p_castle_33|山 形 城 
p_castle_34|白 河 小 峰 城 
p_castle_35|鹤 冈 城 
p_castle_36|磐 城 平 城 
p_castle_37|横 手 城 
p_castle_38|平 户 城 
p_castle_39|小 仓 城 
p_castle_40|高 锅 城 
p_castle_41|佐 土 原 城 
p_castle_42|内 牧 城 址 
p_castle_43|八 代 城 
p_castle_44|柳 川 城 
p_castle_45|宇 和 岛 城 
p_castle_46|中 村 城 址 
p_castle_47|德 岛 城 
p_castle_48|高 松 城 
p_castle_49|川 越 城 
p_castle_50|佐 仓 城 
p_castle_51|明 石 城 
p_castle_52|福 知 山 城 
p_castle_53|骏 府 城 
p_castle_54|冈 崎 城 
p_castle_55|长 篠 城 址 
p_castle_56|岩 村 城 
p_castle_57|饭 田 城 
p_castle_58|足 柄 城 址 
p_castle_59|糸 鱼 川 阵 屋 
p_castle_60|松 山 城 
p_castle_61|福 山 城 
p_castle_62|会 津 若 松 城 
p_castle_63|松 冈 城 
p_castle_64|佐 贺 城 
p_castle_65|人 吉 城 
p_castle_66|中 津 城 
p_castle_67|室 津 城 址 
p_castle_68|丸 龟 城 
p_castle_69|松 本 城 
p_castle_70|松 代 城 
p_castle_71|岩 仓 城 址 
p_castle_72|桑 名 城 
p_castle_73|松 前 城 
p_castle_74|大 坂 城 
