pt_none|none{***}
pt_rescued_prisoners|被 救 的 俘 虏 
pt_enemy|敌 人 
pt_hero_party|英 雄 
pt_village_defenders|村 庄 卫 队 
pt_cattle_herd|牛 群 
pt_looters|野 伏 
pt_manhunters|地 头 武 士 
pt_seto_pirates|外 国 水 手 
pt_kanto_rebels|水 户 叛 军 
pt_northern_raiders|阿 伊 努 勇 士 
pt_shinano_rebels|志 士 暴 徒 
pt_woku_pirates|外 国 水 手 
pt_kinai_rebels|叛 乱 武 士 
pt_monk_rebels|尊 王 攘 夷 暴 徒 
pt_deserters|逃 兵 
pt_merchant_caravan|商 队 
pt_troublesome_bandits|难 对 付 的 强 盗 
pt_bandits_awaiting_ransom|等 待 赎 金 的 强 盗 
pt_kidnapped_girl|被 绑 架 的 女 孩 
pt_village_farmers|村 民 
pt_spy_partners|不 显 眼 的 旅 行 者 
pt_runaway_serfs|逃 跑 的 家 奴 
pt_spy|普 通 的 町 民 
pt_sacrificed_messenger|献 祭 信 史 
pt_forager_party|征 粮 队 
pt_scout_party|侦 察 队 
pt_patrol_party|巡 逻 队 
pt_messenger_party|信 使 
pt_raider_party|突 袭 队 
pt_raider_captives|猎 俘 队 
pt_kingdom_caravan_party|商 队 
pt_prisoner_train_party|运 俘 队 
pt_default_prisoners|逃 走 的 俘 虏 
pt_routed_warriors|溃 军 
pt_center_reinforcements|增 援 部 队 
pt_kingdom_hero_party|战 团 
pt_seto_pirate_lair|走 私 犯 藏 身 地 
pt_kanto_rebel_lair|野 武 士 营 寨 
pt_northern_raider_lair|掠 夺 者 营 地 
pt_shinano_rebel_lair|志 士 暴 徒 营 地 
pt_woku_pirate_lair|走 私 犯 藏 身 地 
pt_kinai_rebel_lair|野 武 士 营 寨 
pt_looter_lair|野 伏 营 寨 
pt_monk_rebel_lair|尊 王 攘 夷 暴 徒 营 地 
pt_leaded_looters|盗 贼 团 
pt_dplmc_spouse|你 的 配 偶 
pt_dplmc_gift_caravan|你 的 商 队 
pt_dplmc_recruiter|征 兵 队 
pt_reinforcements|增 援
