trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|大 棒 勇 士 
trp_tutorial_maceman_pl|大 棒 勇 士 
trp_tutorial_archer|弓 手 
trp_tutorial_archer_pl|弓 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 心 者 
trp_novice_fighter_pl|初 心 者 
trp_regular_fighter|教 士 
trp_regular_fighter_pl|教 士 
trp_veteran_fighter|练 士 
trp_veteran_fighter_pl|练 士 
trp_champion_fighter|范 士 
trp_champion_fighter_pl|范 士 
trp_arena_training_fighter_1|初 心 者 
trp_arena_training_fighter_1_pl|初 心 者 
trp_arena_training_fighter_2|初 心 者 
trp_arena_training_fighter_2_pl|初 心 者 
trp_arena_training_fighter_3|教 士 
trp_arena_training_fighter_3_pl|教 士 
trp_arena_training_fighter_4|教 士 
trp_arena_training_fighter_4_pl|教 士 
trp_arena_training_fighter_5|教 士 
trp_arena_training_fighter_5_pl|教 士 
trp_arena_training_fighter_6|练 士 
trp_arena_training_fighter_6_pl|练 士 
trp_arena_training_fighter_7|练 士 
trp_arena_training_fighter_7_pl|练 士 
trp_arena_training_fighter_8|练 士 
trp_arena_training_fighter_8_pl|练 士 
trp_arena_training_fighter_9|范 士 
trp_arena_training_fighter_9_pl|范 士 
trp_arena_training_fighter_10|范 士 
trp_arena_training_fighter_10_pl|范 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民 
trp_farmer_pl|农 民 
trp_townsman|町 人 
trp_townsman_pl|町 人 
trp_hired_guard|雇 佣 杂 众 
trp_hired_guard_pl|雇 佣 杂 众 
trp_yojimbo|雇 佣 相 棒 
trp_yojimbo_pl|雇 佣 相 棒 
trp_hired_warrior|恶 党 浪 人 
trp_hired_warrior_pl|恶 党 浪 人 
trp_hired_warrior_veteran|雇 佣 浪 人 
trp_hired_warrior_veteran_pl|雇 佣 浪 人 
trp_hired_gunner|雇 佣 散 兵 
trp_hired_gunner_pl|雇 佣 散 兵 
trp_hired_agent|忍 者 
trp_hired_agent_pl|忍 者 
trp_Hired_Rifleman|雇 佣 步 枪 兵 
trp_Hired_Rifleman_pl|雇 佣 步 枪 兵 
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_gekokujo_uesugi_villager|越 后 新 兵 
trp_gekokujo_uesugi_villager_pl|越 后 新 兵 
trp_gekokujo_uesugi_spearman|越 后 步 兵 
trp_gekokujo_uesugi_spearman_pl|越 后 步 兵 
trp_gekokujo_uesugi_skirmisher|越 后 散 兵 
trp_gekokujo_uesugi_skirmisher_pl|越 后 散 兵 
trp_gekokujo_uesugi_trained_spearman|熟 练 越 后 步 兵 
trp_gekokujo_uesugi_trained_spearman_pl|熟 练 越 后 步 兵 
trp_gekokujo_uesugi_trained_skirmisher|熟 练 越 后 散 兵 
trp_gekokujo_uesugi_trained_skirmisher_pl|熟 练 越 后 散 兵 
trp_gekokujo_uesugi_veteran_spearman|资 深 越 后 步 兵 
trp_gekokujo_uesugi_veteran_spearman_pl|资 深 越 后 步 兵 
trp_gekokujo_uesugi_veteran_skirmisher|资 深 越 后 散 兵 
trp_gekokujo_uesugi_veteran_skirmisher_pl|资 深 越 后 散 兵 
trp_gekokujo_uesugi_elite_skirmisher|精 锐 越 后 散 兵 
trp_gekokujo_uesugi_elite_skirmisher_pl|精 锐 越 后 散 兵 
trp_gekokujo_date_villager|仙 台 新 兵 
trp_gekokujo_date_villager_pl|仙 台 新 兵 
trp_gekokujo_date_spearman|仙 台 步 兵 
trp_gekokujo_date_spearman_pl|仙 台 步 兵 
trp_gekokujo_date_skirmisher|仙 台 散 兵 
trp_gekokujo_date_skirmisher_pl|仙 台 散 兵 
trp_gekokujo_date_trained_spearman|熟 练 仙 台 步 兵 
trp_gekokujo_date_trained_spearman_pl|熟 练 仙 台 步 兵 
trp_gekokujo_date_trained_skirmisher|熟 练 仙 台 散 兵 
trp_gekokujo_date_trained_skirmisher_pl|熟 练 仙 台 散 兵 
trp_gekokujo_date_veteran_spearman|资 深 仙 台 步 兵 
trp_gekokujo_date_veteran_spearman_pl|资 深 仙 台 步 兵 
trp_gekokujo_date_veteran_skirmisher|资 深 仙 台 散 兵 
trp_gekokujo_date_veteran_skirmisher_pl|资 深 仙 台 散 兵 
trp_gekokujo_date_elite_spearman|精 锐 仙 台 步 兵 
trp_gekokujo_date_elite_spearman_pl|精 锐 仙 台 步 兵 
trp_gekokujo_oda_villager|伊 势 新 兵 
trp_gekokujo_oda_villager_pl|伊 势 新 兵 
trp_gekokujo_oda_spearman|伊 势 步 兵 
trp_gekokujo_oda_spearman_pl|伊 势 步 兵 
trp_gekokujo_oda_skirmisher|伊 势 散 兵 
trp_gekokujo_oda_skirmisher_pl|伊 势 散 兵 
trp_gekokujo_oda_trained_spearman|熟 练 伊 势 步 兵 
trp_gekokujo_oda_trained_spearman_pl|熟 练 伊 势 步 兵 
trp_gekokujo_oda_trained_skirmisher|熟 练 伊 势 散 兵 
trp_gekokujo_oda_trained_skirmisher_pl|熟 练 伊 势 散 兵 
trp_gekokujo_oda_veteran_spearman|资 深 伊 势 步 兵 
trp_gekokujo_oda_veteran_spearman_pl|资 深 伊 势 步 兵 
trp_gekokujo_oda_veteran_skirmisher|资 深 伊 势 散 兵 
trp_gekokujo_oda_veteran_skirmisher_pl|资 深 伊 势 散 兵 
trp_gekokujo_oda_elite_skirmisher|精 锐 伊 势 散 兵 
trp_gekokujo_oda_elite_skirmisher_pl|精 锐 伊 势 散 兵 
trp_gekokujo_mori_villager|长 州 新 兵 
trp_gekokujo_mori_villager_pl|长 州 新 兵 
trp_gekokujo_mori_spearman|长 州 步 兵 
